1,1,1,1
1,1,1,2
2,1,1,3
3,1,1,4
1,2,1,1
1,2,1,2
2,2,1,3
3,2,1,4
1,3,1,1
1,3,1,2
2,3,1,3
3,3,1,4
1,4,1,1
1,4,1,2
2,4,1,3
3,4,1,4
1,5,1,1
1,5,1,2
2,5,1,3
3,5,1,4
1,6,1,1
1,6,1,2
2,6,1,3
3,6,1,4
1,7,1,1
1,7,1,2
2,7,1,3
3,7,1,4
1,8,1,1
1,8,1,2
2,8,1,3
3,8,1,4
1,9,1,1
1,9,1,2
2,9,1,3
3,9,1,4
1,10,1,1
1,10,1,2
2,10,1,3
3,10,1,4
1,11,1,1
1,11,1,2
2,11,1,3
3,11,1,4
1,12,1,1
1,12,1,2
2,12,1,3
3,12,1,4
1,13,1,1
1,13,1,2
2,13,1,3
3,13,1,4
1,14,1,1
1,14,1,2
2,14,1,3
3,14,1,4
1,15,1,1
1,15,1,2
2,15,1,3
3,15,1,4
1,16,1,1
1,16,1,2
2,16,1,3
3,16,1,4
1,17,1,1
1,17,1,2
2,17,1,3
3,17,1,4
1,18,1,1
1,18,1,2
2,18,1,3
3,18,1,4
1,19,1,1
1,19,1,2
2,19,1,3
3,19,1,4
1,20,1,1
1,20,1,2
2,20,1,3
3,20,1,4
1,21,1,1
1,21,1,2
2,21,1,3
3,21,1,4
1,22,1,1
1,22,1,2
2,22,1,3
3,22,1,4
1,23,1,1
1,23,1,2
2,23,1,3
3,23,1,4
1,24,1,1
1,24,1,2
2,24,1,3
3,24,1,4
1,25,1,1
1,25,1,2
2,25,1,3
3,25,1,4
1,26,1,1
1,26,1,2
2,26,1,3
3,26,1,4
1,27,1,1
1,27,1,2
2,27,1,3
3,27,1,4
1,28,1,1
1,28,1,2
2,28,1,3
3,28,1,4
1,29,1,1
1,29,1,2
2,29,1,3
3,29,1,4
1,30,1,1
1,30,1,2
2,30,1,3
3,30,1,4
1,31,1,1
1,31,1,2
2,31,1,3
3,31,1,4
1,32,1,1
1,32,1,2
2,32,1,3
3,32,1,4
1,33,1,1
1,33,1,2
2,33,1,3
3,33,1,4
1,34,1,1
1,34,1,2
2,34,1,3
3,34,1,4
1,35,1,1
1,35,1,2
2,35,1,3
3,35,1,4
1,36,1,1
1,36,1,2
2,36,1,3
3,36,1,4
1,37,1,1
1,37,1,2
2,37,1,3
3,37,1,4
1,38,1,1
1,38,1,2
2,38,1,3
3,38,1,4
1,39,1,1
1,39,1,2
2,39,1,3
3,39,1,4
1,40,1,1
1,40,1,2
2,40,1,3
3,40,1,4
1,41,1,1
1,41,1,2
2,41,1,3
3,41,1,4
1,42,1,1
1,42,1,2
2,42,1,3
3,42,1,4
1,43,1,1
1,43,1,2
2,43,1,3
3,43,1,4
1,44,1,1
1,44,1,2
2,44,1,3
3,44,1,4
1,45,1,1
1,45,1,2
2,45,1,3
3,45,1,4
1,46,1,1
1,46,1,2
2,46,1,3
3,46,1,4
1,47,1,1
1,47,1,2
2,47,1,3
3,47,1,4
1,48,1,1
1,48,1,2
2,48,1,3
3,48,1,4
1,49,1,1
1,49,1,2
2,49,1,3
3,49,1,4
1,50,1,1
1,50,1,2
2,50,1,3
3,50,1,4
