1,1,1,1,1,2022-01-01 00:00:00,88
2,2,1,1,1,2022-01-01 00:00:00,49
3,3,2,1,1,2022-01-01 00:00:00,14
4,4,3,1,1,2022-01-01 00:00:00,853
5,1,1,2,1,2022-01-01 00:00:00,71
6,2,1,2,1,2022-01-01 00:00:00,62
7,3,2,2,1,2022-01-01 00:00:00,8
8,4,3,2,1,2022-01-01 00:00:00,492
9,1,1,3,1,2022-01-01 00:00:00,86
10,2,1,3,1,2022-01-01 00:00:00,47
11,3,2,3,1,2022-01-01 00:00:00,11
12,4,3,3,1,2022-01-01 00:00:00,980
13,1,1,4,1,2022-01-01 00:00:00,24
14,2,1,4,1,2022-01-01 00:00:00,65
15,3,2,4,1,2022-01-01 00:00:00,10
16,4,3,4,1,2022-01-01 00:00:00,772
17,1,1,5,1,2022-01-01 00:00:00,26
18,2,1,5,1,2022-01-01 00:00:00,77
19,3,2,5,1,2022-01-01 00:00:00,10
20,4,3,5,1,2022-01-01 00:00:00,86
21,1,1,6,1,2022-01-01 00:00:00,49
22,2,1,6,1,2022-01-01 00:00:00,34
23,3,2,6,1,2022-01-01 00:00:00,4
24,4,3,6,1,2022-01-01 00:00:00,301
25,1,1,7,1,2022-01-01 00:00:00,30
26,2,1,7,1,2022-01-01 00:00:00,71
27,3,2,7,1,2022-01-01 00:00:00,12
28,4,3,7,1,2022-01-01 00:00:00,12
29,1,1,8,1,2022-01-01 00:00:00,45
30,2,1,8,1,2022-01-01 00:00:00,55
31,3,2,8,1,2022-01-01 00:00:00,11
32,4,3,8,1,2022-01-01 00:00:00,729
33,1,1,9,1,2022-01-01 00:00:00,99
34,2,1,9,1,2022-01-01 00:00:00,90
35,3,2,9,1,2022-01-01 00:00:00,10
36,4,3,9,1,2022-01-01 00:00:00,813
37,1,1,10,1,2022-01-01 00:00:00,76
38,2,1,10,1,2022-01-01 00:00:00,32
39,3,2,10,1,2022-01-01 00:00:00,16
40,4,3,10,1,2022-01-01 00:00:00,896
41,1,1,11,1,2022-01-01 00:00:00,49
42,2,1,11,1,2022-01-01 00:00:00,43
43,3,2,11,1,2022-01-01 00:00:00,5
44,4,3,11,1,2022-01-01 00:00:00,975
45,1,1,12,1,2022-01-01 00:00:00,72
